#1

# WLTC class 3 test cycle >34 W/kg =34 k/tonne
 double Cycle(1801,3)
#
#vehicles with a ratio of rated power in W / kerb mass in kg  > 34ù
#
#  where:
#    column 1 - time [s]
#    column 2 - desired speed [km/h]
#    column 3 - phase (1: low; 2: medium (middle), 3: 4; 4: Extra 4
294	47.3 	1
295	46.8 	1
296	46.7 	1
297	46.8 	1
298	47.1 	1
299	47.3 	1
300	47.3 	1
301	47.1 	1
302	46.6 	1
303	45.8 	1
304	44.8 	1
305	43.3 	1
306	41.8 	1
307	40.8 	1
308	40.3 	1
309	40.1 	1
310	39.7 	1
311	39.2 	1
312	38.5 	1
313	37.4 	1
314	36.0 	1
315	34.4 	1
316	33.0 	1
317	31.7 	1
318	30.0 	1
319	28.0 	1
320	26.1 	1
321	25.6 	1
322	24.9 	1
323	24.9 	1
324	24.3 	1
325	23.9 	1
326	23.9 	1
327	23.6 	1
328	23.3 	1
329	20.5 	1
330	17.5 	1
331	16.9 	1
332	16.7 	1
333	15.9 	1
334	15.6 	1
335	15.0 	1
336	14.5 	1
337	14.3 	1
338	14.5 	1
339	15.4 	1
340	17.8 	1
341	21.1 	1
342	24.1 	1
343	25.0 	1
344	25.3 	1
345	25.5 	1
346	26.4 	1
347	26.6 	1
348	27.1 	1
349	27.7 	1
350	28.1 	1
351	28.2 	1
352	28.1 	1
353	28.0 	1
354	27.9 	1
355	27.9 	1
356	28.1 	1
357	28.2 	1
358	28.0 	1
359	26.9 	1
360	25.0 	1
361	23.2 	1
362	21.9 	1
363	21.1 	1
364	20.7 	1
365	20.7 	1
366	20.8 	1
367	21.2 	1
368	22.1 	1
369	23.5 	1
370	24.3 	1
371	24.5 	1
372	23.8 	1
373	21.3 	1
374	17.7 	1
375	14.4 	1
376	11.9 	1
377	10.2 	1
378	8.9 	1
379	8.0 	1
380	7.2 	1
381	6.1 	1
382	4.9 	1
383	3.7 	1
384	2.3 	1
385	0.9 	1
386	0.0 	1
387	0.0 	1
388	0.0 	1
389	0.0 	1
390	0.0 	1
391	0.0 	1
392	0.5 	1
393	2.1 	1
394	4.8 	1
395	8.3 	1
396	12.3 	1
397	16.6 	1
398	20.9 	1
399	24.2 	1
400	25.6 	1
401	25.6 	1
402	24.9 	1
403	23.3 	1
404	21.6 	1
405	20.2 	1
406	18.7 	1
407	17.0 	1
408	15.3 	1
409	14.2 	1
410	13.9 	1
411	14.0 	1
412	14.2 	1
413	14.5 	1
414	14.9 	1
415	15.9 	1
416	17.4 	1
417	18.7 	1
418	19.1 	1
419	18.8 	1
420	17.6 	1
421	16.6 	1
422	16.2 	1
423	16.4 	1
424	17.2 	1
425	19.1 	1
426	22.6 	1
427	27.4 	1
428	31.6 	1
429	33.4 	1
430	33.5 	1
431	32.8 	1
432	31.9 	1
433	31.3 	1
434	31.1 	1
435	30.6 	1
436	29.2 	1
437	26.7 	1
438	23.0 	1
439	18.2 	1
440	12.9 	1
441	7.7 	1
442	3.8 	1
443	1.3 	1
444	0.2 	1
